Season,Team,Lg,Salary,player_id
1998-99,Toronto Raptors,NBA,"$287,500",marksse01
1999-00,Toronto Raptors,NBA,"$385,000",marksse01
2001-02,Miami Heat,NBA,"$565,850",marksse01
2002-03,Miami Heat,NBA,"$612,435",marksse01
2003-04,San Antonio Spurs,NBA,"$596,295",marksse01
2004-05,San Antonio Spurs,NBA,"$745,046",marksse01
2005-06,San Antonio Spurs,NBA,"$835,810",marksse01
2006-07,Phoenix Suns,NBA,"$932,015",marksse01
2007-08,Phoenix Suns,NBA,"$1,033,930",marksse01
2008-09,New Orleans Hornets,NBA,"$1,141,838",marksse01
2009-10,New Orleans Hornets,NBA,"$1,187,686",marksse01
2010-11,Charlotte Bobcats,NBA,"$1,264,687",marksse01
Career,(may be incomplete),,"$9,588,092",marksse01
