Season,Team,Lg,Salary,player_id
2006-07,Orlando Magic,NBA,"$1,860,720",redicjj01
2007-08,Orlando Magic,NBA,"$2,000,160",redicjj01
2008-09,Orlando Magic,NBA,"$2,139,720",redicjj01
2009-10,Orlando Magic,NBA,"$2,839,408",redicjj01
2010-11,Orlando Magic,NBA,"$7,250,000",redicjj01
2011-12,Orlando Magic,NBA,"$6,750,000",redicjj01
2012-13,Milwaukee Bucks,NBA,"$6,190,000",redicjj01
2013-14,Los Angeles Clippers,NBA,"$6,300,000",redicjj01
2014-15,Los Angeles Clippers,NBA,"$6,583,500",redicjj01
2015-16,Los Angeles Clippers,NBA,"$6,867,000",redicjj01
2016-17,Los Angeles Clippers,NBA,"$7,377,500",redicjj01
2017-18,Philadelphia 76ers,NBA,"$23,000,000",redicjj01
2018-19,Philadelphia 76ers,NBA,"$12,250,000",redicjj01
2019-20,New Orleans Pelicans,NBA,"$13,486,300",redicjj01
2020-21,Dallas Mavericks,NBA,"$13,013,700",redicjj01
Career,(may be incomplete),,"$117,908,008",redicjj01
