Season,Team,Lg,Salary,player_id
1990-91,Washington Bullets,NBA,"$275,000",fostegr01
1991-92,Washington Bullets,NBA,"$339,000",fostegr01
1992-93,Washington Bullets,NBA,"$439,000",fostegr01
1993-94,Atlanta Hawks,NBA,"$250,000",fostegr01
1994-95,Minnesota Timberwolves,NBA,"$113,400",fostegr01
1994-95,Chicago Bulls,NBA,"$80,500",fostegr01
1995-96,Utah Jazz,NBA,"$350,000",fostegr01
1996-97,Utah Jazz,NBA,"$420,000",fostegr01
1997-98,Utah Jazz,NBA,"$504,000",fostegr01
1998-99,Utah Jazz,NBA,"$588,000",fostegr01
1999-00,Seattle SuperSonics,NBA,"$1,603,861",fostegr01
2000-01,Los Angeles Lakers,NBA,"$1,760,000",fostegr01
2001-02,Milwaukee Bucks,NBA,"$1,764,247",fostegr01
2002-03,Toronto Raptors,NBA,"$401,951",fostegr01
Career,(may be incomplete),,"$8,888,959",fostegr01
