Season,Team,Lg,Salary,player_id
1984-85,Boston Celtics,NBA,"$700,000",parisro01
1985-86,Boston Celtics,NBA,"$700,000",parisro01
1987-88,Boston Celtics,NBA,"$2,038,333",parisro01
1988-89,Boston Celtics,NBA,"$2,038,333",parisro01
1989-90,Boston Celtics,NBA,"$2,000,000",parisro01
1990-91,Boston Celtics,NBA,"$2,500,000",parisro01
1991-92,Boston Celtics,NBA,"$3,000,000",parisro01
1992-93,Boston Celtics,NBA,"$3,513,000",parisro01
1993-94,Boston Celtics,NBA,"$4,000,000",parisro01
1994-95,Charlotte Hornets,NBA,"$1,925,000",parisro01
1995-96,Charlotte Hornets,NBA,"$2,500,000",parisro01
1996-97,Chicago Bulls,NBA,"$1,000,000",parisro01
1997-98,Chicago Bulls,NBA,"$1,150,000",parisro01
Career,(may be incomplete),,"$27,064,666",parisro01
