Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2019-10-23,24-025,CHO,,CHI,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,martica02,https://www.basketball-reference.com/players/m/martica02/gamelog/2020
2,1,2019-10-25,24-027,CHO,,MIN,L (-22),0,17:39,2,8,.250,0,2,.000,0,1,.000,0,2,2,3,1,2,1,2,4,2.1,-6,2020,martica02,https://www.basketball-reference.com/players/m/martica02/gamelog/2020
3,2,2019-10-27,24-029,CHO,@,LAL,L (-19),0,1:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-3,2020,martica02,https://www.basketball-reference.com/players/m/martica02/gamelog/2020
4,,2019-10-28,24-030,CHO,@,LAC,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,martica02,https://www.basketball-reference.com/players/m/martica02/gamelog/2020
5,,2019-10-30,24-032,CHO,@,SAC,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,martica02,https://www.basketball-reference.com/players/m/martica02/gamelog/2020
6,,2019-11-02,24-035,CHO,@,GSW,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,martica02,https://www.basketball-reference.com/players/m/martica02/gamelog/2020
7,,2019-11-05,24-038,CHO,,IND,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,martica02,https://www.basketball-reference.com/players/m/martica02/gamelog/2020
8,3,2019-11-07,24-040,CHO,,BOS,L (-21),0,6:10,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,1,0,1,-0.8,0,2020,martica02,https://www.basketball-reference.com/players/m/martica02/gamelog/2020
9,,2019-11-09,24-042,CHO,,NOP,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,martica02,https://www.basketball-reference.com/players/m/martica02/gamelog/2020
10,,2019-11-10,24-043,CHO,@,PHI,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,martica02,https://www.basketball-reference.com/players/m/martica02/gamelog/2020
