Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,24-037,ORL,,CLE,W (+9),1,28:53,2,8,.250,1,2,.500,4,6,.667,0,2,2,3,2,1,1,4,9,6.2,+1,2020,gordoaa01,https://www.basketball-reference.com/players/g/gordoaa01/gamelog/2020
2,2,2019-10-26,24-040,ORL,@,ATL,L (-4),1,30:26,4,10,.400,0,2,.000,2,2,1.000,4,3,7,3,2,0,1,0,10,11.4,-11,2020,gordoaa01,https://www.basketball-reference.com/players/g/gordoaa01/gamelog/2020
3,3,2019-10-28,24-042,ORL,@,TOR,L (-9),1,29:40,1,6,.167,0,2,.000,0,0,,1,4,5,5,0,2,3,3,2,0.8,-17,2020,gordoaa01,https://www.basketball-reference.com/players/g/gordoaa01/gamelog/2020
4,4,2019-10-30,24-044,ORL,,NYK,W (+12),1,28:10,6,13,.462,3,6,.500,0,0,,3,8,11,1,1,1,0,3,15,14.0,+17,2020,gordoaa01,https://www.basketball-reference.com/players/g/gordoaa01/gamelog/2020
5,5,2019-11-01,24-046,ORL,,MIL,L (-32),1,28:15,3,10,.300,2,5,.400,3,5,.600,1,3,4,3,0,0,1,3,11,5.9,-3,2020,gordoaa01,https://www.basketball-reference.com/players/g/gordoaa01/gamelog/2020
6,6,2019-11-02,24-047,ORL,,DEN,L (-4),1,32:18,9,15,.600,1,4,.250,2,5,.400,2,7,9,3,0,0,0,1,21,18.1,-14,2020,gordoaa01,https://www.basketball-reference.com/players/g/gordoaa01/gamelog/2020
7,7,2019-11-05,24-050,ORL,@,OKC,L (-8),1,28:34,6,13,.462,0,3,.000,3,4,.750,2,5,7,3,0,0,2,5,15,8.9,-4,2020,gordoaa01,https://www.basketball-reference.com/players/g/gordoaa01/gamelog/2020
8,8,2019-11-06,24-051,ORL,@,DAL,L (-1),1,37:19,10,17,.588,1,5,.200,2,2,1.000,3,1,4,1,2,0,4,6,23,13.8,-6,2020,gordoaa01,https://www.basketball-reference.com/players/g/gordoaa01/gamelog/2020
9,9,2019-11-08,24-053,ORL,,MEM,W (+32),1,31:36,7,11,.636,0,2,.000,3,3,1.000,1,3,4,2,1,0,2,2,17,13.3,+26,2020,gordoaa01,https://www.basketball-reference.com/players/g/gordoaa01/gamelog/2020
10,10,2019-11-10,24-055,ORL,,IND,L (-7),1,30:03,5,10,.500,2,5,.400,1,1,1.000,1,1,2,3,0,1,1,1,13,10.4,-8,2020,gordoaa01,https://www.basketball-reference.com/players/g/gordoaa01/gamelog/2020
