Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2015-10-28,25-323,PHO,,DAL,L (-16),1,31:23,4,12,.333,0,2,.000,5,7,.714,1,3,4,4,0,0,2,4,13,6.2,-25,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
2,2,2015-10-30,25-325,PHO,,POR,W (+18),1,33:14,6,14,.429,0,2,.000,10,11,.909,0,2,2,3,2,1,3,0,22,16.6,+15,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
3,3,2015-10-31,25-326,PHO,@,POR,W (+11),1,38:23,12,21,.571,2,6,.333,7,9,.778,0,3,3,6,4,2,2,1,33,30.4,+11,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
4,4,2015-11-02,25-328,PHO,@,LAC,L (-6),1,31:38,6,19,.316,1,4,.250,3,4,.750,0,4,4,7,2,1,3,3,16,9.3,-12,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
5,5,2015-11-04,25-330,PHO,,SAC,W (+21),1,32:37,8,18,.444,2,4,.500,1,3,.333,0,6,6,8,4,1,4,0,19,16.9,+25,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
6,6,2015-11-06,25-332,PHO,,DET,L (-8),1,37:04,9,23,.391,2,6,.333,2,3,.667,0,2,2,4,3,0,4,6,22,9.1,0,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
7,7,2015-11-08,25-334,PHO,@,OKC,L (-21),1,37:04,10,15,.667,2,2,1.000,6,7,.857,1,1,2,11,0,0,2,4,28,26.2,-13,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
8,8,2015-11-12,25-338,PHO,,LAC,W (+14),1,34:39,9,13,.692,2,5,.400,6,7,.857,2,8,10,9,2,0,8,4,26,22.6,+8,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
9,9,2015-11-14,25-340,PHO,,DEN,W (+24),1,29:55,11,16,.688,3,4,.750,5,5,1.000,0,7,7,4,2,0,3,0,30,27.1,+31,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
10,10,2015-11-16,25-342,PHO,,LAL,W (+19),1,28:17,8,16,.500,2,6,.333,3,4,.750,1,0,1,3,2,0,5,3,21,11.2,+7,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
11,11,2015-11-18,25-344,PHO,,CHI,L (-6),1,39:10,7,22,.318,2,8,.250,5,7,.714,0,6,6,7,2,0,2,1,21,13.9,-2,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
12,12,2015-11-20,25-346,PHO,@,DEN,W (+7),1,37:27,9,17,.529,2,4,.500,2,2,1.000,0,1,1,3,2,1,4,2,22,14.0,+10,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
13,13,2015-11-22,25-348,PHO,@,NOP,L (-6),1,33:49,7,15,.467,4,8,.500,11,12,.917,1,6,7,6,1,0,5,5,29,21.6,-4,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
14,,2015-11-23,25-349,PHO,@,SAS,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
15,14,2015-11-25,25-351,PHO,,NOP,L (-6),1,37:24,5,16,.313,1,2,.500,7,7,1.000,1,1,2,7,0,2,4,3,18,10.9,-13,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
16,15,2015-11-27,25-353,PHO,,GSW,L (-19),1,34:07,9,13,.692,3,5,.600,0,1,.000,0,1,1,7,3,0,4,2,21,18.5,-23,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
17,16,2015-11-29,25-355,PHO,@,TOR,W (+5),1,38:03,5,17,.294,1,3,.333,9,11,.818,0,5,5,11,0,3,3,3,20,16.4,-4,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
18,17,2015-12-01,25-357,PHO,@,BRK,L (-3),1,37:31,5,11,.455,2,4,.500,5,9,.556,1,1,2,7,4,0,4,2,17,14.8,+8,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
19,18,2015-12-02,25-358,PHO,@,DET,L (-5),1,40:50,8,20,.400,2,6,.333,3,3,1.000,2,2,4,9,2,0,6,5,21,12.5,-20,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
20,19,2015-12-04,25-360,PHO,@,WAS,L (-3),1,35:14,9,18,.500,1,5,.200,3,4,.750,2,2,4,7,2,0,2,2,22,18.7,+6,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
21,20,2015-12-06,25-362,PHO,@,MEM,L (-2),1,40:11,8,22,.364,2,6,.333,5,7,.714,1,6,7,6,1,0,4,2,23,12.9,-1,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
22,21,2015-12-07,25-363,PHO,@,CHI,W (+2),1,32:43,7,17,.412,0,1,.000,2,3,.667,3,6,9,3,3,0,2,2,16,12.7,-6,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
23,22,2015-12-09,26-000,PHO,,ORL,W (+3),1,34:45,8,16,.500,1,4,.250,4,5,.800,0,3,3,9,2,1,4,3,21,17.3,+12,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
24,23,2015-12-11,26-002,PHO,,POR,L (-10),1,35:26,12,26,.462,4,10,.400,3,5,.600,1,3,4,5,2,1,1,0,31,23.6,-8,2016,bledser01,https://www.basketball-reference.com/players/b/bledser01/gamelog/2016
