Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-01-21,23-153,NOP,,DET,W (+16),0,0:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
2,2,2016-01-23,23-155,NOP,,MIL,W (+17),0,1:33,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7,+2,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
3,3,2016-01-25,23-157,NOP,,HOU,L (-1),0,5:57,0,1,.000,0,1,.000,0,0,,0,4,4,0,0,0,0,1,0,0.1,+2,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
4,4,2016-01-28,23-160,NOP,,SAC,W (+9),1,34:53,5,12,.417,3,6,.500,1,6,.167,1,1,2,2,2,1,1,2,14,8.9,-14,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
5,5,2016-01-30,23-162,NOP,,BRK,W (+2),1,35:58,3,7,.429,1,3,.333,1,1,1.000,2,7,9,1,1,0,1,2,8,7.7,+2,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
6,6,2016-02-01,23-164,NOP,,MEM,L (-15),1,23:32,3,7,.429,1,3,.333,2,2,1.000,3,2,5,1,2,0,0,0,9,10.7,-4,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
7,7,2016-02-03,23-166,NOP,@,SAS,L (-13),1,22:54,3,7,.429,2,5,.400,0,0,,0,3,3,1,1,0,3,3,8,2.7,+7,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
8,8,2016-02-04,23-167,NOP,,LAL,L (-3),1,43:14,6,10,.600,1,3,.333,4,8,.500,1,8,9,1,2,0,1,1,17,15.2,+4,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
9,9,2016-02-06,23-169,NOP,@,CLE,L (-15),1,19:35,0,2,.000,0,2,.000,1,2,.500,0,1,1,2,0,0,0,0,1,0.9,0,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
10,10,2016-02-08,23-171,NOP,@,MIN,W (+14),1,12:24,0,4,.000,0,1,.000,0,0,,1,3,4,2,0,0,1,3,0,-2.0,-6,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
11,11,2016-02-10,23-173,NOP,,UTA,W (+4),1,18:58,3,5,.600,1,1,1.000,2,2,1.000,0,2,2,2,1,0,0,0,9,9.7,-8,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
12,12,2016-02-19,23-182,NOP,,PHI,W (+7),1,17:18,2,5,.400,1,2,.500,0,0,,0,4,4,1,0,0,3,2,5,0.4,-6,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
13,13,2016-02-21,23-184,NOP,@,DET,W (+5),1,20:39,2,3,.667,1,2,.500,0,0,,0,3,3,2,1,0,1,2,5,5.2,+4,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
14,14,2016-02-23,23-186,NOP,@,WAS,L (-20),1,21:09,0,5,.000,0,2,.000,0,0,,0,2,2,0,0,1,0,1,0,-2.6,-19,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
15,,2016-02-25,23-188,NOP,,OKC,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2016,dejeabr01,https://www.basketball-reference.com/players/d/dejeabr01/gamelog/2016
