Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-24,25-159,HOU,,MIL,L (-6),1,30:54,5,10,.500,0,0,,3,6,.500,0,12,12,0,1,3,0,4,13,11.9,+2,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
2,2,2019-10-26,25-161,HOU,,NOP,W (+3),1,24:35,7,9,.778,0,0,,1,1,1.000,2,4,6,2,1,2,2,5,15,13.9,+2,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
3,3,2019-10-28,25-163,HOU,,OKC,W (+4),1,30:05,7,11,.636,0,0,,1,3,.333,2,5,7,1,1,3,5,3,15,9.8,+3,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
4,4,2019-10-30,25-165,HOU,@,WAS,W (+1),1,29:46,9,13,.692,0,0,,3,7,.429,5,7,12,3,1,2,1,1,21,22.6,-1,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
5,5,2019-11-01,25-167,HOU,@,BRK,L (-7),1,19:40,5,8,.625,0,0,,0,0,,0,4,4,0,1,0,1,3,10,6.4,-25,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
6,6,2019-11-03,25-169,HOU,@,MIA,L (-29),1,22:41,2,5,.400,0,0,,1,2,.500,0,7,7,0,2,0,0,3,5,4.8,-29,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
7,7,2019-11-04,25-170,HOU,@,MEM,W (+7),1,28:54,5,10,.500,0,0,,0,1,.000,6,7,13,2,1,0,2,1,10,10.9,+4,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
8,8,2019-11-06,25-172,HOU,,GSW,W (+17),1,35:39,9,14,.643,0,0,,1,2,.500,5,11,16,2,1,6,1,3,19,23.6,+20,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
9,9,2019-11-09,25-175,HOU,@,CHI,W (+23),1,41:41,7,10,.700,0,0,,2,2,1.000,5,15,20,1,0,4,0,3,16,22.1,+35,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
10,10,2019-11-11,25-177,HOU,@,NOP,W (+6),1,36:22,5,6,.833,0,0,,1,4,.250,5,15,20,1,1,2,1,2,11,16.9,-11,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
11,11,2019-11-13,25-179,HOU,,LAC,W (+9),1,31:51,6,7,.857,0,0,,0,2,.000,2,18,20,0,0,2,1,2,12,15.1,-4,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
12,,2019-11-15,25-181,HOU,,IND,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
13,,2019-11-16,25-182,HOU,@,MIN,W (+20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
14,12,2019-11-18,25-184,HOU,,POR,W (+24),1,35:09,10,17,.588,0,0,,2,3,.667,5,15,20,0,1,4,1,3,22,23.3,+30,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
15,13,2019-11-20,25-186,HOU,@,DEN,L (-10),1,34:46,6,9,.667,0,0,,0,0,,4,17,21,0,1,0,4,3,12,11.8,0,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
16,14,2019-11-22,25-188,HOU,@,LAC,L (-3),1,40:57,7,12,.583,0,0,,3,5,.600,5,14,19,0,0,2,3,4,17,15.1,-1,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
17,15,2019-11-24,25-190,HOU,,DAL,L (-14),1,35:26,10,16,.625,0,0,,1,5,.200,10,13,23,3,1,0,1,3,21,24.0,-11,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
18,,2019-11-27,25-193,HOU,,MIA,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,capelca01,https://www.basketball-reference.com/players/c/capelca01/gamelog/2020
