Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,session,player,gamelog_url
1,1,1990-11-02,22-295,WSB,@,MIA,L (-24),1,23:00,6,14,.429,0,0,,1,2,.500,0,3,3,1,0,0,2,4,13,3.2,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
2,2,1990-11-03,22-296,WSB,,CHI,W (+1),1,21:00,4,8,.500,0,0,,2,2,1.000,0,1,1,2,0,0,0,3,10,6.5,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
3,3,1990-11-08,22-301,WSB,@,NYK,L (-11),1,17:00,2,7,.286,0,0,,2,2,1.000,2,0,2,3,0,0,0,1,6,5.0,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
4,4,1990-11-09,22-302,WSB,,MIL,L (-8),1,20:00,2,5,.400,0,0,,0,2,.000,1,1,2,5,1,0,1,2,4,4.2,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
5,5,1990-11-12,22-305,WSB,@,NJN,W (+5),1,31:00,5,14,.357,0,0,,0,0,,3,3,6,1,3,0,1,4,10,6.3,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
6,6,1990-11-13,22-306,WSB,@,CHH,L (-15),1,14:00,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,1,2,2,0.6,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
7,7,1990-11-16,22-309,WSB,@,PHI,L (-13),1,41:00,5,14,.357,0,1,.000,2,2,1.000,3,3,6,5,2,0,2,1,12,10.3,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
8,8,1990-11-17,22-310,WSB,,BOS,L (-12),1,19:00,2,5,.400,0,0,,0,0,,0,0,0,0,1,0,1,1,4,0.9,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
9,9,1990-11-20,22-313,WSB,,SAC,L (-5),1,27:00,1,3,.333,0,0,,0,0,,0,1,1,2,0,0,3,3,2,-2.2,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
10,10,1990-11-23,22-316,WSB,@,DET,L (-9),1,12:00,2,6,.333,0,0,,0,0,,2,1,3,2,0,0,0,2,4,2.9,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
11,11,1991-01-08,22-362,GSW,,DEN,W (+22),0,13:00,1,5,.200,0,0,,0,0,,0,0,0,1,1,0,2,1,2,-1.8,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
12,12,1991-01-10,22-364,GSW,@,SEA,W (+10),0,7:00,1,3,.333,0,0,,2,2,1.000,0,0,0,1,0,0,0,2,4,2.2,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
13,13,1991-01-12,23-001,GSW,,PHO,L (-9),0,23:00,3,6,.500,0,0,,0,0,,1,1,2,1,1,0,2,3,6,2.5,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
14,14,1991-01-15,23-004,GSW,@,NJN,W (+1),0,6:00,0,1,.000,0,0,,0,2,.000,0,0,0,0,1,0,0,1,0,-0.9,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
15,15,1991-01-16,23-005,GSW,@,BOS,W (+5),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
16,16,1991-01-18,23-007,GSW,@,PHI,W (+3),0,5:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
17,17,1991-01-19,23-008,GSW,@,MIN,L (-8),0,11:00,1,3,.333,0,0,,0,0,,1,3,4,3,2,0,1,0,2,5.0,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
18,18,1991-01-25,23-014,GSW,,MIL,W (+29),0,10:00,3,4,.750,0,0,,0,0,,0,1,1,0,0,0,0,2,6,3.9,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
19,19,1991-01-31,23-020,GSW,,LAC,W (+16),0,5:00,3,4,.750,0,0,,0,0,,0,1,1,2,0,0,0,0,6,6.1,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
20,20,1991-02-01,23-021,GSW,@,POR,L (-20),0,4:00,1,4,.250,0,0,,0,0,,0,0,0,0,1,0,0,0,2,0.6,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
21,21,1991-02-03,23-023,GSW,@,HOU,L (-8),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
22,22,1991-02-05,23-025,GSW,@,SAS,W (+6),0,3:00,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,-0.8,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
23,23,1991-02-14,23-034,GSW,,BOS,L (-16),0,3:00,0,1,.000,0,0,,2,2,1.000,1,0,1,0,1,0,0,0,2,3.0,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
24,24,1991-02-20,23-040,GSW,@,MIN,W (+3),0,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
25,25,1991-02-22,23-042,GSW,,UTA,L (-5),0,5:00,0,0,,0,0,,0,0,,1,1,2,1,1,0,2,3,0,-0.5,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
26,26,1991-02-23,23-043,GSW,@,DEN,L (-5),0,11:00,2,4,.500,0,0,,1,2,.500,1,1,2,0,0,1,0,2,5,3.5,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
27,27,1991-02-26,23-046,GSW,,ORL,L (-12),0,7:00,0,2,.000,0,0,,1,2,.500,0,0,0,1,0,0,0,3,1,-1.3,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
28,28,1991-02-27,23-047,GSW,@,UTA,L (-15),0,19:00,2,8,.250,0,0,,1,1,1.000,6,0,6,1,0,0,1,0,5,4.1,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
29,29,1991-03-02,23-050,GSW,,CHH,W (+13),0,17:00,3,7,.429,0,0,,1,2,.500,1,0,1,0,1,0,4,3,7,-0.6,1991,robinla01,https://www.basketball-reference.com/players/r/robinla01/gamelog/1991
