Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2022-10-19,19-152,SAS,,CHO,L (-27),1,27:26,2,8,.250,0,2,.000,0,1,.000,2,5,7,2,2,0,0,2,4,4.3,-2,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
2,2,2022-10-21,19-154,SAS,@,IND,W (+3),1,21:04,2,4,.500,0,1,.000,0,0,,1,4,5,1,0,0,1,3,4,2.4,+2,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
3,3,2022-10-22,19-155,SAS,@,PHI,W (+9),1,10:17,0,3,.000,0,2,.000,1,2,.500,0,3,3,1,0,1,1,1,1,-0.6,-9,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
4,4,2022-10-24,19-157,SAS,@,MIN,W (+9),1,23:23,7,9,.778,0,2,.000,0,0,,2,2,4,1,1,0,1,5,14,11.2,+13,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
5,5,2022-10-26,19-159,SAS,@,MIN,L (-12),1,27:38,5,13,.385,2,6,.333,0,0,,1,0,1,2,1,1,1,3,12,6.5,+2,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
6,6,2022-10-28,19-161,SAS,,CHI,W (+5),1,31:16,5,8,.625,2,4,.500,1,2,.500,0,6,6,5,1,1,3,3,13,11.8,+4,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
7,,2022-10-30,19-163,SAS,,MIN,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
8,7,2022-11-02,19-166,SAS,,TOR,L (-43),1,9:49,1,4,.250,0,2,.000,0,0,,1,1,2,0,1,0,0,0,2,1.6,-13,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
9,8,2022-11-04,19-168,SAS,,LAC,L (-7),1,22:06,3,8,.375,0,4,.000,0,0,,1,1,2,2,0,0,1,0,6,3.0,-5,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
10,9,2022-11-05,19-169,SAS,@,DEN,L (-25),1,24:11,2,2,1.000,1,1,1.000,0,0,,1,1,2,1,1,1,0,2,5,7.0,+6,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
11,10,2022-11-07,19-171,SAS,,DEN,L (-6),1,28:21,1,4,.250,0,2,.000,0,0,,2,2,4,2,2,1,0,2,2,4.9,-3,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
12,11,2022-11-09,19-173,SAS,,MEM,L (-2),1,30:23,6,7,.857,1,2,.500,0,0,,1,1,2,0,2,0,2,3,13,10.3,-6,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
13,12,2022-11-11,19-175,SAS,,MIL,W (+18),1,29:50,4,7,.571,0,2,.000,2,2,1.000,1,6,7,2,0,1,2,4,10,7.7,+22,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
14,13,2022-11-14,19-178,SAS,@,GSW,L (-37),1,24:36,5,13,.385,0,3,.000,2,3,.667,2,5,7,0,1,0,3,4,12,3.8,-34,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
15,14,2022-11-15,19-179,SAS,@,POR,L (-7),1,26:38,2,3,.667,0,0,,2,2,1.000,0,4,4,4,0,2,1,5,6,7.1,+18,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
16,15,2022-11-17,19-181,SAS,@,SAC,L (-18),1,31:24,5,10,.500,0,2,.000,1,1,1.000,0,4,4,5,0,0,3,2,11,6.9,-12,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
17,16,2022-11-19,19-183,SAS,@,LAC,L (-22),1,28:00,2,6,.333,0,1,.000,0,0,,2,2,4,2,0,1,7,2,4,-3.1,-24,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
18,17,2022-11-20,19-184,SAS,@,LAL,L (-31),1,26:18,6,14,.429,0,3,.000,0,1,.000,3,3,6,1,3,0,2,2,12,8.1,-21,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
19,18,2022-11-23,19-187,SAS,,NOP,L (-19),1,24:01,6,10,.600,0,1,.000,0,2,.000,1,1,2,1,0,0,1,5,12,5.3,-26,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
20,19,2022-11-25,19-189,SAS,,LAL,L (-11),1,35:48,5,11,.455,1,3,.333,2,4,.500,5,4,9,5,4,1,2,3,13,16.2,-17,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
21,20,2022-11-26,19-190,SAS,,LAL,L (-5),1,14:24,2,6,.333,1,1,1.000,0,0,,0,0,0,3,0,0,0,1,5,3.3,0,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
22,,2022-11-30,19-194,SAS,@,OKC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
23,,2022-12-02,19-196,SAS,,NOP,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
24,,2022-12-04,19-198,SAS,,PHO,L (-38),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
25,,2022-12-08,19-202,SAS,,HOU,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2023,sochaje01,https://www.basketball-reference.com/players/s/sochaje01/gamelog/2023
