Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2019-10-24,28-096,GSW,,LAC,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,burksal01,https://www.basketball-reference.com/players/b/burksal01/gamelog/2020
2,,2019-10-27,28-099,GSW,@,OKC,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,burksal01,https://www.basketball-reference.com/players/b/burksal01/gamelog/2020
3,,2019-10-28,28-100,GSW,@,NOP,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2020,burksal01,https://www.basketball-reference.com/players/b/burksal01/gamelog/2020
4,1,2019-10-30,28-102,GSW,,PHO,L (-11),0,17:49,3,6,.500,1,3,.333,0,0,,0,1,1,2,0,0,1,1,7,4.3,-1,2020,burksal01,https://www.basketball-reference.com/players/b/burksal01/gamelog/2020
5,2,2019-11-01,28-104,GSW,,SAS,L (-17),0,15:35,5,9,.556,2,2,1.000,2,2,1.000,0,1,1,0,0,0,0,3,14,8.8,-19,2020,burksal01,https://www.basketball-reference.com/players/b/burksal01/gamelog/2020
6,3,2019-11-02,28-105,GSW,,CHO,L (-6),0,24:47,0,3,.000,0,0,,0,0,,0,4,4,3,0,1,1,0,0,0.9,-4,2020,burksal01,https://www.basketball-reference.com/players/b/burksal01/gamelog/2020
7,4,2019-11-04,28-107,GSW,,POR,W (+9),0,27:58,4,12,.333,1,4,.250,4,5,.800,0,4,4,2,0,0,2,3,13,5.2,+6,2020,burksal01,https://www.basketball-reference.com/players/b/burksal01/gamelog/2020
8,5,2019-11-06,28-109,GSW,@,HOU,L (-17),0,31:24,10,18,.556,3,8,.375,5,6,.833,0,8,8,3,2,0,2,2,28,22.7,+2,2020,burksal01,https://www.basketball-reference.com/players/b/burksal01/gamelog/2020
9,6,2019-11-08,28-111,GSW,@,MIN,L (-6),0,31:45,5,10,.500,2,6,.333,6,6,1.000,2,7,9,1,0,2,3,3,18,14.4,-2,2020,burksal01,https://www.basketball-reference.com/players/b/burksal01/gamelog/2020
10,7,2019-11-09,28-112,GSW,@,OKC,L (-6),1,36:41,9,17,.529,0,1,.000,5,5,1.000,1,4,5,4,1,1,1,4,23,18.5,+5,2020,burksal01,https://www.basketball-reference.com/players/b/burksal01/gamelog/2020
