Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2021-12-28,22-176,NOP,,CLE,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
2,,2022-01-01,22-180,NOP,@,MIL,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
3,,2022-01-03,22-182,NOP,,UTA,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
4,,2022-01-04,22-183,NOP,,PHO,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
5,,2022-01-06,22-185,NOP,,GSW,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
6,,2022-03-18,22-256,NYK,,WAS,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
7,,2022-03-20,22-258,NYK,,UTA,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
8,,2022-03-22,22-260,NYK,,ATL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
9,,2022-03-23,22-261,NYK,@,CHO,W (+15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
10,,2022-03-25,22-263,NYK,@,MIA,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
11,,2022-03-27,22-265,NYK,@,DET,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
12,,2022-03-28,22-266,NYK,,CHI,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
13,,2022-03-30,22-268,NYK,,CHO,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
14,,2022-04-02,22-271,NYK,,CLE,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
15,,2022-04-03,22-272,NYK,@,ORL,W (+30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
16,,2022-04-06,22-275,NYK,,BRK,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
17,1.0,2022-04-08,22-277,NYK,@,WAS,W (+22),0,1:50,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,+3,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
18,2.0,2022-04-10,22-279,NYK,,TOR,W (+11),0,6:32,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,1,0,0,-1.0,-4,2022,huntfe01,https://www.basketball-reference.com/players/h/huntfe01/gamelog/2022
