Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,,2014-10-28,24-221,NOP,,ORL,W (+17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
2,,2014-11-01,24-225,NOP,,DAL,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
3,1.0,2014-11-03,24-227,NOP,@,MEM,L (-12),0,3:58,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,+4,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
4,,2014-11-04,24-228,NOP,,CHO,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
5,,2014-11-08,24-232,NOP,@,SAS,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
6,,2014-11-10,24-234,NOP,@,CLE,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
7,,2014-11-12,24-236,NOP,,LAL,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
8,2.0,2014-11-14,24-238,NOP,,MIN,W (+48),0,16:53,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,4,2,-2.3,0,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
9,3.0,2014-11-17,24-241,NOP,@,POR,L (-9),0,4:35,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-1,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
10,,2014-11-18,24-242,NOP,@,SAC,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
11,4.0,2014-11-21,24-245,NOP,@,DEN,L (-20),0,3:34,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+4,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
12,,2014-11-22,24-246,NOP,@,UTA,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
13,5.0,2014-11-25,24-249,NOP,,SAC,L (-10),1,14:22,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,3,0,-3.3,-19,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
14,,2014-11-28,24-252,NOP,@,ATL,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
15,,2014-11-29,24-253,NOP,@,WAS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2015,milleda01,https://www.basketball-reference.com/players/m/milleda01/gamelog/2015
