Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,26-092,SAS,,NYK,W (+9),1,32:31,7,12,.583,3,6,.500,3,3,1.000,0,5,5,1,0,0,0,2,20,15.8,+4,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
2,2,2019-10-26,26-095,SAS,,WAS,W (+2),1,32:02,6,14,.429,4,9,.444,0,0,,3,1,4,3,0,0,3,2,16,9.3,+3,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
3,3,2019-10-28,26-097,SAS,,POR,W (+3),1,29:05,4,11,.364,2,6,.333,4,4,1.000,0,7,7,0,0,0,0,2,14,9.2,-16,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
4,4,2019-10-31,26-100,SAS,@,LAC,L (-6),1,24:56,3,8,.375,2,4,.500,1,1,1.000,0,0,0,0,0,0,1,2,9,2.8,-16,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
5,5,2019-11-01,26-101,SAS,@,GSW,W (+17),1,26:24,5,13,.385,3,9,.333,1,1,1.000,0,2,2,1,1,0,0,1,14,8.8,+3,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
6,6,2019-11-03,26-103,SAS,,LAL,L (-7),1,26:46,4,13,.308,1,8,.125,3,3,1.000,0,3,3,3,3,0,0,1,12,10.1,-10,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
7,7,2019-11-05,26-105,SAS,@,ATL,L (-8),1,31:26,6,16,.375,2,9,.222,3,5,.600,0,2,2,1,0,0,0,0,17,8.7,-6,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
8,8,2019-11-07,26-107,SAS,,OKC,W (+9),1,22:32,5,10,.500,4,7,.571,0,0,,0,6,6,2,0,0,2,5,14,8.2,+2,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
9,9,2019-11-09,26-109,SAS,,BOS,L (-20),1,20:40,4,11,.364,3,7,.429,3,3,1.000,1,0,1,2,0,0,1,2,14,8.2,-15,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
10,10,2019-11-11,26-111,SAS,,MEM,L (-4),1,27:52,5,12,.417,4,9,.444,0,0,,0,1,1,1,0,0,1,2,14,6.8,-2,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
11,11,2019-11-13,26-113,SAS,@,MIN,L (-15),1,23:46,5,10,.500,2,7,.286,1,1,1.000,1,1,2,1,0,0,1,3,13,7.5,-11,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
12,12,2019-11-15,26-115,SAS,@,ORL,L (-2),1,29:20,4,13,.308,4,7,.571,0,0,,0,1,1,1,1,0,0,0,12,6.5,-15,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
13,13,2019-11-16,26-116,SAS,,POR,L (-5),1,27:38,6,11,.545,1,4,.250,4,4,1.000,0,1,1,1,1,0,0,1,17,13.3,-13,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
14,14,2019-11-18,26-118,SAS,@,DAL,L (-7),1,31:06,4,9,.444,3,5,.600,2,2,1.000,0,2,2,0,1,0,1,1,13,8.5,-3,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
15,15,2019-11-20,26-120,SAS,@,WAS,L (-6),1,33:00,6,14,.429,3,9,.333,4,5,.800,0,4,4,7,2,0,0,1,19,18.9,+14,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
16,16,2019-11-22,26-122,SAS,@,PHI,L (-11),1,26:17,3,10,.300,1,8,.125,0,0,,0,1,1,1,0,0,2,2,7,-0.6,-18,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
17,17,2019-11-23,26-123,SAS,@,NYK,W (+7),1,20:06,0,4,.000,0,3,.000,0,0,,1,2,3,4,0,0,0,5,0,-0.7,+7,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
18,18,2019-11-25,26-125,SAS,,LAL,L (-10),1,29:26,5,11,.455,3,7,.429,0,0,,0,3,3,5,1,0,1,2,13,10.9,-3,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
19,19,2019-11-27,26-127,SAS,,MIN,L (-12),1,21:40,3,13,.231,1,8,.125,0,0,,1,2,3,3,0,0,0,1,7,2.1,-15,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
20,20,2019-11-29,26-129,SAS,,LAC,W (+10),1,23:50,4,8,.500,2,5,.400,2,2,1.000,0,2,2,2,0,0,0,2,12,9.2,-2,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
21,21,2019-12-01,26-131,SAS,@,DET,L (-34),1,22:51,2,7,.286,1,5,.200,0,0,,0,0,0,2,1,0,1,0,5,2.3,-13,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
22,22,2019-12-03,26-133,SAS,,HOU,W (+2),1,36:35,10,13,.769,5,6,.833,0,3,.000,0,2,2,4,0,0,2,6,25,17.7,-1,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
23,23,2019-12-06,26-136,SAS,,SAC,W (+1),1,19:38,4,8,.500,1,4,.250,0,0,,0,2,2,1,1,0,0,1,9,6.9,-7,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
24,24,2019-12-12,26-142,SAS,,CLE,L (-8),1,16:34,1,6,.167,0,3,.000,0,0,,0,2,2,1,0,0,1,2,2,-2.3,+2,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
25,25,2019-12-14,26-144,SAS,@,PHO,W (+2),1,15:47,0,8,.000,0,5,.000,0,0,,1,2,3,2,0,0,0,1,0,-3.3,-8,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
26,26,2019-12-16,26-146,SAS,@,HOU,L (-2),1,28:51,6,12,.500,6,9,.667,0,0,,0,2,2,0,1,0,3,4,18,9.0,+5,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
27,27,2019-12-19,26-149,SAS,,BRK,W (+13),1,21:50,1,6,.167,1,4,.250,3,3,1.000,0,1,1,0,0,0,1,3,6,0.3,-9,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
28,28,2019-12-21,26-151,SAS,,LAC,L (-25),1,19:28,1,5,.200,1,4,.250,2,2,1.000,0,1,1,0,0,0,1,0,5,1.2,-15,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
29,29,2019-12-23,26-153,SAS,@,MEM,W (+30),1,24:52,3,4,.750,3,4,.750,0,0,,0,2,2,4,0,0,2,0,9,8.8,+14,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
30,30,2019-12-26,26-156,SAS,@,DAL,L (-4),1,24:30,3,7,.429,0,4,.000,1,1,1.000,0,4,4,0,0,0,1,0,7,3.5,+12,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
31,31,2019-12-28,26-158,SAS,,DET,W (+27),1,29:42,6,8,.750,3,5,.600,3,3,1.000,0,3,3,3,1,0,1,1,18,17.4,+26,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
32,32,2019-12-31,26-161,SAS,,GSW,W (+4),1,31:28,5,13,.385,4,7,.571,0,0,,0,3,3,1,0,0,3,2,14,4.7,-6,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
33,33,2020-01-02,26-163,SAS,,OKC,L (-6),1,29:19,1,9,.111,1,7,.143,0,0,,0,4,4,2,0,0,0,5,3,-2.3,-15,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
34,34,2020-01-04,26-165,SAS,@,MIL,L (-9),0,19:47,3,7,.429,2,3,.667,0,0,,1,0,1,1,2,0,0,1,8,7.3,+2,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
35,35,2020-01-06,26-167,SAS,,MIL,W (+22),1,25:10,2,6,.333,1,4,.250,1,1,1.000,0,2,2,2,1,0,2,1,6,3.2,+11,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
36,36,2020-01-08,26-169,SAS,@,BOS,W (+15),1,26:49,5,10,.500,4,9,.444,1,1,1.000,0,3,3,6,2,0,0,2,15,16.3,+8,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
37,37,2020-01-10,26-171,SAS,@,MEM,L (-13),1,28:39,7,12,.583,4,8,.500,3,4,.750,0,2,2,0,0,0,2,1,21,13.2,-13,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
38,38,2020-01-12,26-173,SAS,@,TOR,W (+1),1,20:19,3,10,.300,1,6,.167,0,0,,1,0,1,1,0,0,1,1,7,1.2,-14,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
39,39,2020-01-15,26-176,SAS,@,MIA,L (-6),1,25:41,4,13,.308,3,9,.333,0,0,,0,1,1,2,1,0,2,3,11,3.0,-2,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
40,40,2020-01-17,26-178,SAS,,ATL,L (-1),1,25:43,2,9,.222,1,6,.167,2,2,1.000,0,2,2,1,1,0,2,1,7,1.4,-3,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
41,41,2020-01-19,26-180,SAS,,MIA,W (+5),1,16:09,0,5,.000,0,5,.000,2,3,.667,0,0,0,0,0,0,1,3,2,-4.1,-6,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
42,42,2020-01-20,26-181,SAS,@,PHO,W (+2),1,32:45,8,13,.615,8,11,.727,0,2,.000,0,1,1,2,0,0,1,4,24,16.4,+9,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
43,43,2020-01-22,26-183,SAS,@,NOP,W (+4),1,23:41,4,8,.500,2,5,.400,1,2,.500,0,1,1,1,0,0,1,1,11,6.2,+1,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
44,44,2020-01-24,26-185,SAS,,PHO,L (-4),1,24:30,3,7,.429,1,5,.200,0,0,,1,1,2,2,1,0,2,3,7,3.5,+3,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
45,45,2020-01-26,26-187,SAS,,TOR,L (-4),1,25:52,5,12,.417,3,7,.429,0,0,,0,2,2,3,1,0,1,1,13,8.9,-9,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
46,46,2020-01-27,26-188,SAS,@,CHI,L (-1),1,22:02,1,5,.200,0,4,.000,0,0,,0,2,2,5,0,0,0,0,2,3.0,-2,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
47,47,2020-01-29,26-190,SAS,,UTA,W (+7),1,23:05,4,7,.571,1,3,.333,0,0,,0,0,0,1,0,0,0,4,9,4.8,-1,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
48,48,2020-02-01,26-193,SAS,,CHO,W (+24),1,16:25,2,8,.250,2,5,.400,0,0,,0,1,1,2,0,0,0,0,6,2.9,-3,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
49,49,2020-02-03,26-195,SAS,@,LAC,L (-3),1,23:25,2,8,.250,2,7,.286,2,2,1.000,0,1,1,2,0,0,0,3,8,3.7,-5,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
50,50,2020-02-04,26-196,SAS,@,LAL,L (-27),1,25:26,4,8,.500,4,8,.500,1,2,.500,0,0,0,3,3,0,0,1,13,13.3,-12,2020,forbebr01,https://www.basketball-reference.com/players/f/forbebr01/gamelog/2020
