Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-22,28-269,NOP,@,TOR,L (-8),0,19:37,5,7,.714,4,5,.800,0,0,,2,3,5,2,0,0,2,1,14,12.4,+11,2020,mellini01,https://www.basketball-reference.com/players/m/mellini01/gamelog/2020
2,2,2019-10-25,28-272,NOP,,DAL,L (-7),0,14:26,2,3,.667,0,1,.000,0,0,,1,1,2,1,0,0,1,3,4,2.2,+4,2020,mellini01,https://www.basketball-reference.com/players/m/mellini01/gamelog/2020
3,3,2019-10-26,28-273,NOP,@,HOU,L (-3),0,11:02,4,6,.667,0,1,.000,2,3,.667,0,2,2,1,0,0,1,3,10,6.1,+2,2020,mellini01,https://www.basketball-reference.com/players/m/mellini01/gamelog/2020
4,4,2019-10-28,28-275,NOP,,GSW,L (-11),0,12:04,1,4,.250,0,2,.000,0,1,.000,1,1,2,1,0,0,0,1,2,0.5,-6,2020,mellini01,https://www.basketball-reference.com/players/m/mellini01/gamelog/2020
5,5,2019-10-31,28-278,NOP,,DEN,W (+15),1,18:31,2,5,.400,1,4,.250,2,2,1.000,0,4,4,2,1,1,1,1,7,7.2,+10,2020,mellini01,https://www.basketball-reference.com/players/m/mellini01/gamelog/2020
6,6,2019-11-02,28-280,NOP,@,OKC,L (-11),1,10:25,1,2,.500,0,1,.000,2,2,1.000,0,2,2,0,0,0,1,1,4,2.2,-12,2020,mellini01,https://www.basketball-reference.com/players/m/mellini01/gamelog/2020
7,,2019-11-04,28-282,NOP,@,BRK,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,mellini01,https://www.basketball-reference.com/players/m/mellini01/gamelog/2020
8,7,2019-11-08,28-286,NOP,,TOR,L (-18),1,10:12,0,2,.000,0,2,.000,2,2,1.000,0,0,0,0,0,1,1,2,2,-0.5,-7,2020,mellini01,https://www.basketball-reference.com/players/m/mellini01/gamelog/2020
9,8,2019-11-09,28-287,NOP,@,CHO,W (+5),0,4:43,0,2,.000,0,2,.000,0,0,,1,0,1,0,0,0,3,0,0,-3.7,-11,2020,mellini01,https://www.basketball-reference.com/players/m/mellini01/gamelog/2020
10,,2019-11-11,28-289,NOP,,HOU,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2020,mellini01,https://www.basketball-reference.com/players/m/mellini01/gamelog/2020
