Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2019-10-23,22-240,DET,@,IND,W (+9),0,15:59,1,4,.250,0,3,.000,2,2,1.000,0,2,2,0,0,1,0,3,4,1.7,-3,2020,makerth01,https://www.basketball-reference.com/players/m/makerth01/gamelog/2020
2,2,2019-10-24,22-241,DET,,ATL,L (-17),0,19:16,0,1,.000,0,1,.000,1,2,.500,2,3,5,1,0,2,1,0,1,3.3,-1,2020,makerth01,https://www.basketball-reference.com/players/m/makerth01/gamelog/2020
3,3,2019-10-26,22-243,DET,,PHI,L (-6),0,23:22,1,3,.333,0,0,,0,0,,0,2,2,1,1,2,3,1,2,0.6,-5,2020,makerth01,https://www.basketball-reference.com/players/m/makerth01/gamelog/2020
4,4,2019-10-28,22-245,DET,,IND,W (+2),0,9:44,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,-1,2020,makerth01,https://www.basketball-reference.com/players/m/makerth01/gamelog/2020
5,5,2019-10-30,22-247,DET,@,TOR,L (-12),0,12:40,3,7,.429,1,1,1.000,1,2,.500,1,2,3,0,1,0,0,1,8,5.8,+10,2020,makerth01,https://www.basketball-reference.com/players/m/makerth01/gamelog/2020
6,6,2019-11-01,22-249,DET,@,CHI,L (-6),0,12:54,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,2,0,-0.2,+2,2020,makerth01,https://www.basketball-reference.com/players/m/makerth01/gamelog/2020
7,7,2019-11-02,22-250,DET,,BRK,W (+4),0,9:09,1,3,.333,0,0,,2,4,.500,1,3,4,0,0,0,0,1,4,2.7,-4,2020,makerth01,https://www.basketball-reference.com/players/m/makerth01/gamelog/2020
8,8,2019-11-04,22-252,DET,@,WAS,L (-16),0,8:21,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,3,0,-1.5,-13,2020,makerth01,https://www.basketball-reference.com/players/m/makerth01/gamelog/2020
9,9,2019-11-06,22-254,DET,,NYK,W (+20),0,13:06,3,3,1.000,1,1,1.000,0,1,.000,0,2,2,1,0,0,0,3,7,5.8,-4,2020,makerth01,https://www.basketball-reference.com/players/m/makerth01/gamelog/2020
10,10,2019-11-08,22-256,DET,@,IND,L (-6),0,10:35,1,2,.500,0,0,,0,0,,1,3,4,0,1,2,2,4,2,1.4,-9,2020,makerth01,https://www.basketball-reference.com/players/m/makerth01/gamelog/2020
