Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2017-10-19,19-155,OKC,,NYK,W (+21),0,10:39,1,5,.200,0,2,.000,0,0,,0,0,0,0,0,0,1,1,2,-2.5,-1,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
2,2,2017-10-21,19-157,OKC,@,UTA,L (-9),0,9:43,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,2,0,-0.1,+3,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
3,,2017-10-22,19-158,OKC,,MIN,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
4,3,2017-10-25,19-161,OKC,,IND,W (+18),0,1:32,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,0,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
5,4,2017-10-27,19-163,OKC,@,MIN,L (-3),0,2:42,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,3,0,-0.9,+2,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
6,5,2017-10-28,19-164,OKC,@,CHI,W (+32),0,4:48,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,+7,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
7,6,2017-10-31,19-167,OKC,@,MIL,W (+19),0,2:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
8,7,2017-11-03,19-170,OKC,,BOS,L (-7),0,1:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+2,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
9,,2017-11-05,19-172,OKC,@,POR,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
10,8,2017-11-07,19-174,OKC,@,SAC,L (-8),0,4:42,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
11,,2017-11-09,19-176,OKC,@,DEN,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
12,,2017-11-10,19-177,OKC,,LAC,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
13,9,2017-11-12,19-179,OKC,,DAL,W (+13),0,2:26,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,1,0,3,1.3,-5,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
14,10,2017-11-15,19-182,OKC,,CHI,W (+13),0,3:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-6,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
15,,2017-11-17,19-184,OKC,@,SAS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
16,,2017-11-20,19-187,OKC,@,NOP,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
17,11,2017-11-22,19-189,OKC,,GSW,W (+17),0,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
18,,2017-11-24,19-191,OKC,,DET,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
19,12,2017-11-25,19-192,OKC,@,DAL,L (-16),0,20:59,3,5,.600,1,3,.333,0,0,,0,1,1,1,1,0,0,1,7,6.3,-20,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
20,13,2017-11-29,19-196,OKC,@,ORL,L (-13),0,19:32,0,3,.000,0,2,.000,0,0,,1,1,2,0,0,0,0,2,0,-1.9,-14,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
21,14,2017-12-01,19-198,OKC,,MIN,W (+4),0,2:40,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+3,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
22,,2017-12-03,19-200,OKC,,SAS,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
23,,2017-12-05,19-202,OKC,,UTA,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
24,15,2017-12-07,19-204,OKC,@,BRK,L (-5),0,14:09,1,3,.333,0,2,.000,0,0,,0,0,0,0,1,0,1,2,2,-0.5,+1,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
25,,2017-12-09,19-206,OKC,@,MEM,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
26,16,2017-12-11,19-208,OKC,,CHO,L (-13),0,12:32,2,3,.667,0,1,.000,0,0,,1,0,1,0,0,0,0,0,4,3.4,+8,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
27,17,2017-12-13,19-210,OKC,@,IND,W (+5),0,9:47,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,3.0,+9,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
28,18,2017-12-15,19-212,OKC,@,PHI,W (+2),0,2:33,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+10,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
29,19,2017-12-16,19-213,OKC,@,NYK,L (-15),0,7:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-1,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
30,,2017-12-18,19-215,OKC,,DEN,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
31,20,2017-12-20,19-217,OKC,,UTA,W (+28),0,5:57,1,3,.333,0,0,,0,0,,0,0,0,0,1,0,1,2,2,-0.5,0,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
32,,2017-12-22,19-219,OKC,,ATL,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
33,,2017-12-23,19-220,OKC,@,UTA,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
34,,2017-12-25,19-222,OKC,,HOU,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
35,21,2017-12-27,19-224,OKC,,TOR,W (+17),0,0:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
36,,2017-12-29,19-226,OKC,,MIL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
37,22,2017-12-31,19-228,OKC,,DAL,L (-3),0,13:47,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,2,2,-0.2,+2,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
38,23,2018-01-03,19-231,OKC,@,LAL,W (+37),1,32:50,9,12,.750,6,9,.667,0,0,,0,1,1,1,3,0,0,5,24,21.2,+12,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
39,24,2018-01-04,19-232,OKC,@,LAC,W (+10),1,31:20,4,12,.333,3,10,.300,0,0,,0,1,1,2,0,0,0,2,11,5.1,+9,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
40,25,2018-01-07,19-235,OKC,@,PHO,L (-14),1,18:23,1,5,.200,0,3,.000,0,0,,0,1,1,1,3,0,0,6,2,0.5,-7,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
41,26,2018-01-09,19-237,OKC,,POR,L (-11),1,30:22,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,3,0,-1.6,-10,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
42,27,2018-01-10,19-238,OKC,@,MIN,L (-16),1,23:28,1,7,.143,1,6,.167,0,0,,1,0,1,1,1,0,0,3,3,-0.3,-17,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
43,28,2018-01-13,19-241,OKC,@,CHO,W (+10),1,17:30,1,3,.333,1,3,.333,0,0,,1,0,1,1,0,1,1,3,3,1.2,+9,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
44,29,2018-01-15,19-243,OKC,,SAC,W (+7),1,18:17,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,1,0,1,2,2.0,+4,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
45,30,2018-01-17,19-245,OKC,,LAL,W (+24),0,27:13,1,5,.200,1,4,.250,0,0,,2,1,3,1,2,0,1,2,3,2.5,+6,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
46,31,2018-01-20,19-248,OKC,@,CLE,W (+24),0,11:09,4,5,.800,1,2,.500,0,0,,0,0,0,0,2,0,1,2,9,7.3,-8,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
47,32,2018-01-23,19-251,OKC,,BRK,W (+1),0,14:13,1,5,.200,1,5,.200,2,2,1.000,0,0,0,1,0,2,0,1,5,3.6,+1,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
48,33,2018-01-25,19-253,OKC,,WAS,W (+9),0,24:31,4,8,.500,3,6,.500,0,0,,2,0,2,0,0,0,0,1,11,8.0,+15,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
49,34,2018-01-27,19-255,OKC,@,DET,W (+13),0,23:22,2,6,.333,2,5,.400,0,0,,2,1,3,0,0,0,0,3,6,3.1,-11,2018,fergute01,https://www.basketball-reference.com/players/f/fergute01/gamelog/2018
