Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,session,player,gamelog_url
1,1,2016-10-26,26-020,DAL,@,IND,L (-9),0,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
2,2,2016-10-28,26-022,DAL,,HOU,L (-8),0,7:44,1,5,.200,1,3,.333,0,0,,0,1,1,0,0,0,0,1,3,-0.2,-5,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
3,,2016-10-30,26-024,DAL,@,HOU,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
4,3,2016-11-02,26-027,DAL,@,UTA,L (-16),0,1:50,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-1,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
5,4,2016-11-04,26-029,DAL,,POR,L (-10),0,11:06,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,1,2,2,-0.2,+1,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
6,,2016-11-06,26-031,DAL,,MIL,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
7,,2016-11-08,26-033,DAL,@,LAL,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
8,5,2016-11-09,26-034,DAL,@,GSW,L (-21),0,24:22,2,6,.333,0,2,.000,2,2,1.000,1,2,3,0,0,0,1,5,6,0.9,-17,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
9,6,2016-11-14,26-039,DAL,@,NYK,L (-16),0,1:57,1,2,.500,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2,0.6,-1,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
10,,2016-11-16,26-041,DAL,@,BOS,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
11,7,2017-01-10,26-096,BRK,,ATL,L (-20),0,1:18,1,1,1.000,1,1,1.000,1,3,.333,1,0,1,0,0,0,0,0,4,3.6,+7,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
12,,2017-01-12,26-098,BRK,,NOP,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
13,8,2017-01-13,26-099,BRK,@,TOR,L (-19),0,5:11,3,3,1.000,1,1,1.000,2,2,1.000,1,1,2,0,0,0,0,0,9,9.1,+1,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
14,9,2017-01-15,26-101,BRK,,HOU,L (-25),0,20:26,2,6,.333,1,2,.500,2,2,1.000,3,1,4,0,0,2,0,3,7,6.2,-4,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
15,10,2017-01-17,26-103,BRK,,TOR,L (-10),0,3:17,2,4,.500,0,0,,1,1,1.000,1,0,1,0,0,0,0,0,5,3.7,+5,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
16,11,2017-01-20,26-106,BRK,@,NOP,W (+29),0,21:37,3,5,.600,2,4,.500,4,4,1.000,1,7,8,1,0,0,2,2,12,10.4,+16,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
17,12,2017-01-21,26-107,BRK,@,CHO,L (-7),0,17:04,5,7,.714,3,4,.750,1,1,1.000,0,4,4,1,2,1,0,2,14,14.9,-3,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
18,13,2017-01-23,26-109,BRK,,SAS,L (-26),0,10:32,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,2,0,-1.5,-8,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
19,14,2017-01-25,26-111,BRK,,MIA,L (-3),0,5:52,2,3,.667,1,1,1.000,2,2,1.000,0,0,0,0,0,0,1,1,7,4.3,-2,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
20,15,2017-01-27,26-113,BRK,@,CLE,L (-8),0,17:55,3,4,.750,1,1,1.000,0,0,,0,5,5,0,0,1,1,2,7,5.8,-5,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
21,16,2017-01-28,26-114,BRK,@,MIN,L (-20),0,16:34,2,6,.333,1,2,.500,0,0,,2,0,2,0,0,1,0,1,5,3.3,-10,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
22,,2017-01-30,26-116,BRK,@,MIA,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
23,,2017-02-01,26-118,BRK,,NYK,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
24,17,2017-02-03,26-120,BRK,,IND,L (-9),0,12:33,2,7,.286,2,5,.400,2,2,1.000,2,1,3,0,0,2,0,3,8,5.8,-3,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
25,18,2017-02-05,26-122,BRK,,TOR,L (-8),0,2:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-3,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
26,,2017-02-07,26-124,BRK,@,CHO,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
27,,2017-02-08,26-125,BRK,,WAS,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
28,,2017-02-10,26-127,BRK,,MIA,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
29,,2017-02-13,26-130,BRK,,MEM,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
30,,2017-02-15,26-132,BRK,,MIL,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
31,,2017-02-24,26-141,BRK,@,DEN,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,2017,acyqu01,https://www.basketball-reference.com/players/a/acyqu01/gamelog/2017
